标题,室数,厅数,卫数,面积,朝向,楼层数,建造时间,小区,行政区,街道,门牌号,单价,总价
朋友委托出售 满二精装 江南御景 三室两厅 税费少,3,2,1,93.01㎡,南,高层(共32层),2018年建造,铁投江南御景,青山,冶金大道,鄂州街5号,15376元/㎡,143万
3室1厅 地铁鑫城 电梯房 采光好 周边商圈成熟,3,1,1,88㎡,西南,低层(共32层),2016年建造,地铁鑫城,江岸,二七路,解放大道2007号,16157元/㎡,142万
新城璟棠 南北通透 3房 业主一天没住过全新房 看房方便,3,2,2,108.6㎡,南北,低层(共32层),2020年建造,新城璟棠,汉阳,四新,四新中路,14081元/㎡,153万
正南 2室2厅 企业力荐好房诚意出售,2,2,1,84.55㎡,南,高层(共32层),2012年建造,歌林花园,黄陂,盘龙城,巨龙大道159号,7333元/㎡,62万
正南 2室2厅 精装修,2,2,1,70.19㎡,南,低层(共48层),2020年建造,中海澳门佳园,江岸,江汉路,解放大道,26439元/㎡,185万
正南 3室2厅 精装修,3,2,1,89.84㎡,南,低层(共34层),2015年建造,中建开元公馆,青山,建设二路,建设二路11号,18310元/㎡,164万
满五   正南 3室2厅 精装修,3,2,1,92.96㎡,南,低层(共33层),2013年建造,保利心语(九期),洪山,新南湖,野芷湖南路5号,13330元/㎡,123万
万科汉阳国际精装两房 中间楼层 诚心出售,2,2,1,81.46㎡,南,低层(共34层),2014年建造,万科汉阳国际B区,汉阳,王家湾,康达街10号,12989元/㎡,106万
（真）满二 家电全送 新武昌旁 保利上城 精装三房来那个两卫,3,2,2,109.77㎡,南北,高层(共40层),2018年建造,保利上城西区,洪山,白沙洲,峰胜路20号,14384元/㎡,158万
7号线地铁口巡司河湿地公园旁东原晴天见毛坯三房业主诚心出售,3,2,1,86.73㎡,南北,中层(共45层),2016年建造,东原晴天见,洪山,新南湖,南湖小路28号,13915元/㎡,121万
新二环，保利上城西区，双卫正朝南，阔景阳台，满二,3,2,2,104㎡,南北,高层(共31层),2019年建造,保利上城西区,洪山,白沙洲,峰胜路20号,14069元/㎡,146万
88平160万急售 千禧城 毛坯好两房 南北通透 老证税少,2,2,1,88.65㎡,南北,中层(共47层),2017年建造,千禧城,硚口,古田,南泥湾大道106号,14919元/㎡,132万
105平 133万 2室2厅 南北通透 满五 青年广场采光好,2,2,1,105.58㎡,南北,中层(共28层),2000年建造,青年广场,江汉,万松园,青年路284号,10804元/㎡,114万
南北通透 2室2厅 精装修,2,2,2,95.55㎡,南北,中层(共7层),2002年建造,金梭花园,洪山,光谷广场,创业街59号,15140元/㎡,145万
古田三路轻轨旁的花园小区，电梯小高层一梯两户，南北通透采光好,3,2,2,129.63㎡,南北,中层(共11层),2006年建造,东方花城,硚口,古田,古田路67号,11287元/㎡,146万
万科品质 精装2房，老证 拎包入住 性价比高,2,2,1,64.69㎡,南,高层(共34层),2015年建造,万科金域蓝湾,沌口开发区,江汉大学,三角湖路8号,14312元/㎡,93万
长江新区 精装修电梯房 南北通透 楼层好 周边商圈成熟,2,2,1,85㎡,南北,中层(共29层),2018年建造,百隆东方城,黄陂,武湖,汉施公路,5835元/㎡,50万
正南 2室2厅 企业力荐好房诚意出售,2,2,1,89.11㎡,南,高层(共31层),2015年建造,花样年花郡(二期),洪山,欢乐谷,丰园路6号,15585元/㎡,139万
洪山区102平 金地西岸故事 精装修 采光好 周边商圈成熟,3,2,1,102.19㎡,南北,低层(共33层),2011年建造,金地西岸故事,洪山,珞狮南路,珞狮路254号,14156元/㎡,145万
满二 当代满庭春MOMA 3室2厅 南北通透 115平,3,2,2,115㎡,南北,高层(共32层),2019年建造,当代满庭春MOMA,新洲,阳逻开发区,风情大道10号,5032元/㎡,58万
170可卖 保利香槟国际 中间楼栋 电梯中层 随时看,3,2,1,90.64㎡,南北,中层(共33层),2013年建造,保利香槟国际,硚口,宗关,汉西一路49号,16498元/㎡,149万
新出 现代城四区   大三室（必看好房）紧邻永旺超市 双地铁,3,2,1,114.11㎡,南,低层(共32层),2008年建造,百步亭现代城四区,江岸,百步亭,百花一路38号,19559元/㎡,223万
南北通透 4室2厅 精装修,4,2,2,128.38㎡,南北,低层(共45层),2017年建造,江夏江南新天地,江夏,文化大道,文化大道36号,9015元/㎡,116万
江山樾 109平 3室2厅 南北通透 居家自住 保养好,3,2,2,109.4㎡,南北,高层(共31层),2014年建造,江山樾,硚口,古田,沿河大道626号,12468元/㎡,136万
正南 3室2厅 企业力荐好房诚意出售,3,2,1,96.29㎡,南,高层(共33层),2018年建造,前川欣城(二期),黄陂,前川,前川大道463号,7812元/㎡,75万
广信万汇城，精装婚房，中间楼层，诚心出售，万科物业。,3,2,1,97.3㎡,南,中层(共26层),2018年建造,广信万汇城,江夏,庙山,江夏大道14号,10959元/㎡,107万
南北通透 3室2厅 企业力荐好房诚意出售,3,2,2,130.18㎡,南北,低层(共31层),2018年建造,联投龙湾(三期),江夏,文化大道,武昌大道,7620元/㎡,99万
阳光花园 新湾五路 通透户型 2房2厅2卫 一梯2户 公摊小,2,2,2,91㎡,南北,中层(共7层),2004年建造,阳光花园(新湾五路),江汉,杨汊湖,新湾五路105号,15443元/㎡,141万
武湖地铁口 豪华装修 满五   单价低 随时可以看房,2,2,1,88.82㎡,南北,低层(共28层),2018年建造,百隆东方城,黄陂,武湖,汉施公路,6794元/㎡,60万
97平 电梯房 满二 精装修 美联(四期) 居家自住保养好,3,2,1,97.6㎡,南,中层(共33层),2015年建造,美联奥林匹克花园(四期),东西湖,常青花园,奥园西路3号,13433元/㎡,131万
南北通透 3室2厅 企业力荐好房诚意出售,3,2,2,118.19㎡,南北,高层(共33层),2012年建造,保利华都,洪山,卓刀泉,虎泉街299号,22240元/㎡,263万
带露台，阳光房！金色雅园二期，红领巾豪装3房，低楼层出售！,3,2,2,129.9㎡,南,低层(共7层),2003年建造,金色雅园金沙苑,江汉,常青,新湾二路16号,18454元/㎡,240万
急卖单价低 仁和路 星桥苑 金科城旁 精装大两房 视野无遮挡,2,2,1,100.11㎡,南北,中层(共7层),2001年建造,星桥苑小区,洪山,欢乐谷,友谊大道988号,9908元/㎡,99万
二环 唐家墩地铁口 次新房顶琇国际城  纯毛坯 老证 有钥匙,3,2,2,93.06㎡,南,高层(共48层),2017年建造,顶琇国际城,江汉,唐家墩,发展大道239号,15722元/㎡,146万
光谷青年城朝南100平好户型总价低随时看房,2,1,1,98.87㎡,南北,中层(共33层),2015年建造,光谷青年城(一期),洪山,关山,新竹路5号,8528元/㎡,84万
南北通透 3室2厅 精装修,3,2,1,111.82㎡,南北,高层(共7层),1997年建造,卓刀泉教师小区,洪山,卓刀泉,卓刀泉路99号,12937元/㎡,145万
天街旁 自带商圈 双轨交通  育才系  诚心出售,3,2,1,101.33㎡,南北,高层(共39层),2018年建造,福星惠誉榜样,江岸,百步亭,后湖大道328号,13868元/㎡,141万
南北通透 4室2厅 企业力荐好房诚意出售,4,2,2,159.14㎡,南北,中层(共6层),2021年建造,临空香廷,黄陂,盘龙城,城东路,6493元/㎡,103万
必看好房 福星华府东区 毛坯大三房 大兴实验 老证急售,3,2,2,124.09㎡,南北,高层(共45层),2011年建造,福星华府(东区),江汉,杨汊湖,新湾路23号,12590元/㎡,156万
3室2厅 企业力荐好房诚意出售,3,2,1,125.49㎡,东,低层(共11层),2006年建造,东湖名邸,武昌,东亭,东湖路,13503元/㎡,169万
满二  住房 毛坯房，房东诚心卖，看中可以谈,2,2,1,77.56㎡,南北,高层(共33层),2018年建造,东建金海湾,东西湖,吴家山,金北一路59号,7461元/㎡,58万
一梯两户 旁芳草和二桥    到3号线地铁 楼下公园安静舒适,2,2,1,83.93㎡,南,高层(共9层),2011年建造,南国明珠(三期),汉阳,王家湾,龙珠路,15758元/㎡,132万
保利阅江台K10地块，精装三房近地铁，房东亏本急卖，老证过户,3,2,2,109.5㎡,南北,低层(共24层),2019年建造,保利庭瑞阅江台,汉阳,郭茨口,琴台大道,12758元/㎡,140万
正南 3室2厅 精装修,3,2,1,99.74㎡,南,高层(共33层),2010年建造,金地中心城(西区),洪山,关西,雄楚大道908号,14089元/㎡,141万
南北通透 保利香颂 精装修 电梯房 106平 看房方便 有钥,3,2,2,106.12㎡,南北,低层(共18层),2018年建造,保利香颂,汉阳,升官渡,四新大道,15190元/㎡,161万
精装修 2室2厅 93平 电梯房 南北通透 采光好 周边商圈,2,2,1,93.66㎡,南北,中层(共32层),2016年建造,东西湖中心广场,东西湖,吴家山,东吴大道1248号,10150元/㎡,95万
155可以卖 王家湾中央生活区 106平 南北通透 采光好,3,2,1,106.5㎡,南北,高层(共30层),2017年建造,王家湾中央生活区,汉阳,王家湾,汉阳大道,12807元/㎡,136万
南北通透 3室2厅 精装修,3,2,2,124.9㎡,南北,中层(共34层),2015年建造,黄陂人信城,黄陂,前川,前川街188号,6949元/㎡,87万
3室2厅 光谷满庭春MOMA 105平 电梯房 满二 南北通,3,2,1,105.68㎡,南北,高层(共34层),2016年建造,光谷满庭春MOMA,洪山,光谷东,高新二路,14158元/㎡,150万
金银潭地铁口永旺旁 精装3室出售 楼层采光好 衣柜已定制,3,2,1,98.73㎡,南,高层(共26层),2019年建造,美联奥林匹克花园六期,东西湖,将军路,奥园东路,15071元/㎡,149万
联投金色港湾  南北通透 精装修 诚心出售,3,2,1,90.25㎡,南北,低层(共33层),2015年建造,联投金色港湾,沌口开发区,江汉大学,博学路6号,11724元/㎡,106万
正南 3室2厅 精装修,3,2,1,93.3㎡,南,中层(共32层),2017年建造,中国铁建梧桐苑,江夏,金融港,民族大道324号,15593元/㎡,145万
宗关 保利香槟国际 三房两厅两卫 房东急置换,3,2,2,120.15㎡,南北,高层(共30层),2015年建造,保利香槟国际,硚口,宗关,汉西一路49号,17544元/㎡,211万
小家碧玉舒适温馨 全朝南的  户型 视野开阔 老证 看房方便,2,2,1,87.31㎡,南,高层(共45层),2008年建造,福星惠誉福星城(南区),江汉,汉口火车站,常青一路2号,12782元/㎡,112万
一线江景房 精装修  配套齐全 楼下就是华师附小，环境好,3,2,1,92.18㎡,南北,中层(共34层),2015年建造,万科金色城市20地块,洪山,白沙洲,武金堤路,13003元/㎡,120万
满五   正南 2室2厅 精装修,2,2,1,84.23㎡,南,高层(共57层),2014年建造,世茂锦绣长江(4期),汉阳,鹦鹉,滨江大道192号,16193元/㎡,136万
107平 和美社区 3室2厅 南北通透 看房方便 有钥匙,3,2,1,107.78㎡,南北,中层(共8层),1995年建造,和美社区,江岸,台北香港路,台北路147号,12272元/㎡,132万
难得一见的光明上海  精装小户型 总价低，朝向好！,3,2,2,121.18㎡,南北,高层(共47层),2018年建造,光明上海府邸,汉阳,四新,四新北路319号,12278元/㎡,149万
范湖地铁 港信小区 大两室可改三室 业主诚意急售 价格可议,2,2,1,102.54㎡,南北,中层(共7层),2002年建造,港信小区,江汉,唐家墩,新华路389号,12011元/㎡,123万
急售捡漏 蓝光 带暖气精装三房 老证 拎包入住 看房预约,3,2,2,116.06㎡,南,低层(共40层),2017年建造,蓝光林肯公园,硚口,古田,长谊路,9971元/㎡,116万
电梯房 89平 满二 3室2厅 九坤新城壹号 精装修,2,2,1,89.69㎡,南北,高层(共33层),2016年建造,九坤新城壹号,东西湖,吴家山,三店西路,7558元/㎡,68万
正南 3室2厅 精装修,3,2,1,97.28㎡,南,中层(共17层),2018年建造,万润橄榄城,黄陂,盘龙城,宋岗一路1号,6373元/㎡,62万
电梯房 南北通透 92平 满二  住房 精装修 居家自住 保,3,2,1,92.61㎡,南北,低层(共45层),2017年建造,千禧城,硚口,古田,南泥湾大道106号,12943元/㎡,120万
汉口火车站旁 福星城南区 满五   精装修 中高楼层 采光好,3,2,1,96.8㎡,南北,高层(共32层),2008年建造,福星惠誉福星城(南区),江汉,汉口火车站,常青一路2号,14517元/㎡,141万
满五   南北通透 3室2厅,3,2,1,117.7㎡,南北,中层(共8层),1997年建造,卓刀泉教师小区,洪山,卓刀泉,卓刀泉路99号,13695元/㎡,161万
巨龙大道双地铁口，精装四房，送20平入户花园，证满五  ,4,2,2,154.1㎡,南北,低层(共18层),2012年建造,珩生领袖城,黄陂,盘龙城,盘龙大道,5472元/㎡,84万
一线湖景 中大水墨兰轩 上芳草和二桥 12号线地铁口 有钥匙,3,2,2,108.38㎡,南北,中层(共13层),2010年建造,中大水墨兰轩,汉阳,王家湾,芳草路66号,12890元/㎡,140万
保利香颂 户型南北通透 得房率高 视野采光好 周边商圈成熟,3,2,2,122.83㎡,南北,高层(共34层),2018年建造,保利香颂,汉阳,升官渡,四新大道,13460元/㎡,165万
产证满五  ，  楼层视野采光好，东边户，店长力荐精装三房。,3,2,2,117.46㎡,南,中层(共32层),2012年建造,保利心语(八期),洪山,新南湖,野芷湖西路10号,14427元/㎡,169万
捡漏 菩提苑 好楼层 采光充足 房东只带衣服走 随时看房,3,2,1,126.37㎡,南北,中层(共33层),2013年建造,菩提苑,江夏,文化大道,环湖路,9485元/㎡,120万
正南 2室1厅 企业力荐好房诚意出售,2,1,1,91.4㎡,南,中层(共7层),2005年建造,阳光花园(新湾五路),江汉,杨汊湖,新湾五路105号,14923元/㎡,136万
急售！满二省税！楼层好采光好！ 居家装修保养如新 送全部家私,3,2,1,91.09㎡,南北,高层(共27层),2016年建造,保利清能西海岸(北区),江夏,藏龙岛,杨桥湖大道22号,10436元/㎡,95万
汉口北轻轨旁 金寓 电梯房 61平 楼层好 视野无遮挡,2,2,1,61.84㎡,南北,中层(共18层),2014年建造,金寓,黄陂,汉口北,汉口北大道16号,2941元/㎡,18万
3室1厅 长宏公寓 满二 91平 采光好 对棋盘街小粮道街中,3,1,1,91.67㎡,南北,中层(共7层),2002年建造,长宏公寓,武昌,粮道街,涵三宫15-19号(单号),14427元/㎡,132万
万科城四期精装修，朝南大2房老证，中间楼层养护好,2,2,1,90.74㎡,北,中层(共23层),2014年建造,万科城,江汉,常青,常青路167号,15031元/㎡,136万
新南湖二环边精准三房诚心出售,3,2,1,102.22㎡,南北,低层(共33层),2011年建造,金地西岸故事,洪山,珞狮南路,珞狮路254号,14548元/㎡,148万
光谷广场地铁口 华乐山庄  三楼  朝南两房 鲁小卓中 急售,2,2,1,79.11㎡,南北,中层(共7层),2000年建造,华乐山庄,洪山,鲁巷,珞喻路716号,12435元/㎡,98万
招商江湾国际精装3房老证随时看房,3,2,2,108.06㎡,南北,低层(共33层),2018年建造,招商江湾国际,硚口,古田,古田二路,13387元/㎡,145万
正南 2室2厅 精装修,2,2,1,90.85㎡,南,中层(共6层),2013年建造,卧龙丽景湾香山苑,东西湖,金银湖,金南一路特1号,10828元/㎡,98万
房东诚心出售，中间楼层，前后阳台看花园，随时看房,3,2,2,118.48㎡,南,中层(共27层),2022年建造,百步亭和谐里,江岸,后湖,和谐大道555号,14791元/㎡,175万
正南 2室2厅 企业力荐好房诚意出售,2,2,1,92.05㎡,南,高层(共33层),2012年建造,铂金天地,武昌,团结大道,沙湖路9号,14818元/㎡,136万
8号线11号线双地铁口 满二 两房朝南  南北通透 楼层好,2,2,1,68.62㎡,南北,低层(共7层),1998年建造,马房山教师小区,洪山,街道口,珞狮路395号,12287元/㎡,84万
     华润紫云府 婚房装修 采光好 业主急售 看房方便,3,2,1,90.05㎡,南北,中层(共34层),2017年建造,华润紫云府(二期),洪山,白沙洲,白沙四路50号,13402元/㎡,121万
捡漏！有钥匙一口价112万，低于市场价中高层无遮挡随时看,3,2,2,99.18㎡,南北,高层(共27层),2018年建造,保利清能西海岸(南区),江夏,藏龙岛,杨桥湖大道,9585元/㎡,95万
纽宾凯公园里  4房  老证  双地铁口  精装修,4,2,2,142.99㎡,南北,高层(共46层),2019年建造,纽宾凯公园里,汉阳,王家湾,赫山路,14742元/㎡,211万
98平 满二  住房 南北通透 电梯房 看房方便 有钥匙,3,2,1,98.61㎡,南北,中层(共31层),2016年建造,汉北大全景,黄陂,武湖,汉口北大道,6639元/㎡,65万
（新上）新小区满两年20楼清水毛坯三房满两年首付两成,3,2,1,88.75㎡,南,高层(共33层),2018年建造,东方雨林,江夏,庙山,阳光大道,8718元/㎡,77万
长江新区D铁口，中间楼层三房两卫，大横厅，双阳台,3,2,2,97.65㎡,南北,中层(共18层),2013年建造,翰林雅居,黄陂,武湖,庙咀路,6349元/㎡,62万
新出清江山水3期，好地段精装修，必看好房，懂得来，必入！,2,2,1,80.37㎡,南北,高层(共33层),2016年建造,清江山水,洪山,光谷软件园,软件园中路10号,15942元/㎡,128万
南北通透 3室2厅 企业力荐好房诚意出售,3,2,2,137.2㎡,南北,高层(共7层),2001年建造,青翠苑社区房产院,青山,友谊大道,"青翠苑60-61,76-79门",7351元/㎡,101万
